"","Entrez_ID","Gene_symbol","Gene_description","Chromosome","Map_location","Model_scientific_name","Model_common_name","Gene_function"
"11","1371","CPOX","coproporphyrinogen oxidase","3","3q11.2","Homo sapiens","human","The protein encoded by this gene is the sixth enzyme of the heme biosynthetic pathway. The encoded enzyme is soluble and found in the intermembrane space of mitochondria. This enzyme catalyzes the stepwise oxidative decarboxylation of coproporphyrinogen III to protoporphyrinogen IX, a precursor of heme. Defects in this gene are a cause of hereditary coproporphyria (HCP).[provided by RefSeq, Oct 2009]"
"12","3708","ITPR1","inositol 1,4,5-trisphosphate receptor type 1","3","3p26.1","Homo sapiens","human","This gene encodes an intracellular receptor for inositol 1,4,5-trisphosphate. Upon stimulation by inositol 1,4,5-trisphosphate, this receptor mediates calcium release from the endoplasmic reticulum. Mutations in this gene cause spinocerebellar ataxia type 15, a disease associated with an heterogeneous group of cerebellar disorders. Multiple transcript variants have been identified for this gene. [provided by RefSeq, Nov 2009]"
"13","7422","VEGFA","vascular endothelial growth factor A","6","6p21.1","Homo sapiens","human","This gene is a member of the PDGF/VEGF growth factor family. It encodes a heparin-binding protein, which exists as a disulfide-linked homodimer. This growth factor induces proliferation and migration of vascular endothelial cells, and is essential for both physiological and pathological angiogenesis. Disruption of this gene in mice resulted in abnormal embryonic blood vessel formation. This gene is upregulated in many known tumors and its expression is correlated with tumor stage and progression. Elevated levels of this protein are found in patients with POEMS syndrome, also known as Crow-Fukase syndrome. Allelic variants of this gene have been associated with microvascular complications of diabetes 1 (MVCD1) and atherosclerosis. Alternatively spliced transcript variants encoding different isoforms have been described. There is also evidence for alternative translation initiation from upstream non-AUG (CUG) codons resulting in additional isoforms. A recent study showed that a C-terminally extended isoform is produced by use of an alternative in-frame translation termination codon via a stop codon readthrough mechanism, and that this isoform is antiangiogenic. Expression of some isoforms derived from the AUG start codon is regulated by a small upstream open reading frame, which is located within an internal ribosome entry site. The levels of VEGF are increased during infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), thus promoting inflammation by facilitating recruitment of inflammatory cells, and by increasing the level of angiopoietin II (Ang II), one of two products of the SARS-CoV-2 binding target, angiotensin-converting enzyme 2 (ACE2). In turn, Ang II facilitates the elevation of VEGF, thus forming a vicious cycle in the release of inflammatory cytokines. [provided by RefSeq, Jun 2020]"
"14","2297","FOXD1","forkhead box D1","5","5q13.2","Homo sapiens","human","This gene belongs to the forkhead family of transcription factors which are characterized by a distinct forkhead domain. Studies of the orthologous mouse protein indicate that it functions in kidney development by promoting nephron progenitor differentiation, and it also functions in the development of the retina and optic chiasm. It may also regulate inflammatory reactions and prevent autoimmunity. [provided by RefSeq, Apr 2014]"
"15","84282","RNF135","ring finger protein 135","17","17q11.2","Homo sapiens","human","The protein encoded by this gene contains a RING finger domain, a motif present in a variety of functionally distinct proteins and known to be involved in protein-protein and protein-DNA interactions. This gene is located in a chromosomal region known to be frequently deleted in patients with neurofibromatosis. Alternatively spliced transcript variants encoding distinct isoforms have been reported. [provided by RefSeq, Jul 2008]"
"16","1051","CEBPB","CCAAT enhancer binding protein beta","20","20q13.13","Homo sapiens","human","This intronless gene encodes a transcription factor that contains a basic leucine zipper (bZIP) domain. The encoded protein functions as a homodimer but can also form heterodimers with CCAAT/enhancer-binding proteins alpha, delta, and gamma. Activity of this protein is important in the regulation of genes involved in immune and inflammatory responses, among other processes. The use of alternative in-frame AUG start codons results in multiple protein isoforms, each with distinct biological functions. [provided by RefSeq, Oct 2013]"
"17","388722","C1orf53","chromosome 1 open reading frame 53","1","1q31.3","Homo sapiens","human",""
"18","5321","PLA2G4A","phospholipase A2 group IVA","1","1q31.1","Homo sapiens","human","This gene encodes a member of the cytosolic phospholipase A2 group IV family. The enzyme catalyzes the hydrolysis of membrane phospholipids to release arachidonic acid which is subsequently metabolized into eicosanoids. Eicosanoids, including prostaglandins and leukotrienes, are lipid-based cellular hormones that regulate hemodynamics, inflammatory responses, and other intracellular pathways. The hydrolysis reaction also produces lysophospholipids that are converted into platelet-activating factor. The enzyme is activated by increased intracellular Ca(2+) levels and phosphorylation, resulting in its translocation from the cytosol and nucleus to perinuclear membrane vesicles. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2015]"
"19","23643","LY96","lymphocyte antigen 96","8","8q21.11","Homo sapiens","human","This gene encodes a protein which associates with toll-like receptor 4 on the cell surface and confers responsiveness to lipopolysaccyaride (LPS), thus providing a link between the receptor and LPS signaling. Studies of the mouse ortholog suggest that this gene may be involved in endotoxin neutralization. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Sep 2010]"
"20","285016","ALKAL2","ALK and LTK ligand 2","2","2p25.3","Homo sapiens","human","Enables receptor signaling protein tyrosine kinase activator activity and receptor tyrosine kinase binding activity. Involved in positive regulation of ERK1 and ERK2 cascade; positive regulation of ERK5 cascade; and positive regulation of neuron projection development. Predicted to be located in extracellular region. [provided by Alliance of Genome Resources, Apr 2022]"
"21","4254","KITLG","KIT ligand","12","12q21.32","Homo sapiens","human","This gene encodes the ligand of the tyrosine-kinase receptor encoded by the KIT locus. This ligand is a pleiotropic factor that acts in utero in germ cell and neural cell development, and hematopoiesis, all believed to reflect a role in cell migration. In adults, it functions pleiotropically, while mostly noted for its continued requirement in hematopoiesis. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
"22","100506325","SP2-AS1","SP2 antisense RNA 1","17","17q21.32","Homo sapiens","human",""
"23","976","ADGRE5","adhesion G protein-coupled receptor E5","19","19p13.12","Homo sapiens","human","This gene encodes a member of the EGF-TM7 subfamily of adhesion G protein-coupled receptors, which mediate cell-cell interactions. These proteins are cleaved by self-catalytic proteolysis into a large extracellular subunit and seven-span transmembrane subunit, which associate at the cell surface as a receptor complex. The encoded protein may play a role in cell adhesion as well as leukocyte recruitment, activation and migration, and contains multiple extracellular EGF-like repeats which mediate binding to chondroitin sulfate and the cell surface complement regulatory protein CD55. Expression of this gene may play a role in the progression of several types of cancer. Alternatively spliced transcript variants encoding multiple isoforms with 3 to 5 EGF-like repeats have been observed for this gene. This gene is found in a cluster with other EGF-TM7 genes on the short arm of chromosome 19. [provided by RefSeq, Jun 2011]"
"24","26230","TIAM2","TIAM Rac1 associated GEF 2","6","6q25.2-q25.3","Homo sapiens","human","This gene encodes a guanine nucleotide exchange factor. A highly similar mouse protein specifically activates ras-related C3 botulinum substrate 1, converting this Rho-like guanosine triphosphatase (GTPase) from a guanosine diphosphate-bound inactive state to a guanosine triphosphate-bound active state. The encoded protein may play a role in neural cell development. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jul 2008]"
"25","3315","HSPB1","heat shock protein family B (small) member 1","7","7q11.23","Homo sapiens","human","This gene encodes a member of the small heat shock protein (HSP20) family of proteins. In response to environmental stress, the encoded protein translocates from the cytoplasm to the nucleus and functions as a molecular chaperone that promotes the correct folding of other proteins. This protein plays an important role in the differentiation of a wide variety of cell types. Expression of this gene is correlated with poor clinical outcome in multiple human cancers, and the encoded protein may promote cancer cell proliferation and metastasis, while protecting cancer cells from apoptosis. Mutations in this gene have been identified in human patients with Charcot-Marie-Tooth disease and distal hereditary motor neuropathy. [provided by RefSeq, Aug 2017]"
"26","144577","KICS2","KICSTOR subunit 2","12","12q14.2","Homo sapiens","human","Involved in cellular response to starvation; negative regulation of TORC1 signaling; and protein localization to lysosome. Located in intercellular bridge and lysosome. Part of KICSTOR complex. [provided by Alliance of Genome Resources, Apr 2022]"
"27","2990","GUSB","glucuronidase beta","7","7q11.21","Homo sapiens","human","This gene encodes a hydrolase that degrades glycosaminoglycans, including heparan sulfate, dermatan sulfate, and chondroitin-4,6-sulfate. The enzyme forms a homotetramer that is localized to the lysosome. Mutations in this gene result in mucopolysaccharidosis type VII. Alternative splicing results in multiple transcript variants. There are many pseudogenes of this locus in the human genome.[provided by RefSeq, May 2014]"
"28","97","ACYP1","acylphosphatase 1","14","14q24.3","Homo sapiens","human","This gene is a member of the acylphosphatase family. The encoded protein is a small cytosolic enzyme that catalyzes the hydrolysis of the carboxyl-phosphate bond of acylphosphates. Two isoenzymes have been isolated and described based on their tissue localization: erythrocyte (common) type acylphosphatase encoded by this gene, and muscle type acylphosphatase. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2014]"
"29","8985","PLOD3","procollagen-lysine,2-oxoglutarate 5-dioxygenase 3","7","7q22.1","Homo sapiens","human","The protein encoded by this gene is a membrane-bound homodimeric enzyme that is localized to the cisternae of the rough endoplasmic reticulum. The enzyme (cofactors iron and ascorbate) catalyzes the hydroxylation of lysyl residues in collagen-like peptides. The resultant hydroxylysyl groups are attachment sites for carbohydrates in collagen and thus are critical for the stability of intermolecular crosslinks. Some patients with Ehlers-Danlos syndrome type VIB have deficiencies in lysyl hydroxylase activity. [provided by RefSeq, Jul 2008]"
"30","3673","ITGA2","integrin subunit alpha 2","5","5q11.2","Homo sapiens","human","This gene encodes the alpha subunit of a transmembrane receptor for collagens and related proteins. The encoded protein forms a heterodimer with a beta subunit and mediates the adhesion of platelets and other cell types to the extracellular matrix. Loss of the encoded protein is associated with bleeding disorder platelet-type 9. Antibodies against this protein are found in several immune disorders, including neonatal alloimmune thrombocytopenia. This gene is located adjacent to a related alpha subunit gene. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2012]"
"31","5634","PRPS2","phosphoribosyl pyrophosphate synthetase 2","X","Xp22.2","Homo sapiens","human","This gene encodes a phosphoribosyl pyrophosphate synthetase that plays a central role in the synthesis of purines and pyrimidines. The encoded protein catalyzes the synthesis of 5-phosphoribosyl 1-pyrophosphate from ATP and D-ribose 5-phosphate. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Mar 2010]"
"32","84836","ABHD14B","abhydrolase domain containing 14B","3","3p21.2","Homo sapiens","human","Enables hydrolase activity. Involved in positive regulation of transcription by RNA polymerase II. Located in cytosol; nucleolus; and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
"33","928","CD9","CD9 molecule","12","12p13.31","Homo sapiens","human","This gene encodes a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Tetraspanins are cell surface glycoproteins with four transmembrane domains that form multimeric complexes with other cell surface proteins. The encoded protein functions in many cellular processes including differentiation, adhesion, and signal transduction, and expression of this gene plays a critical role in the suppression of cancer cell motility and metastasis. [provided by RefSeq, Jan 2011]"
"34","9989","PPP4R1","protein phosphatase 4 regulatory subunit 1","18","18p11.22","Homo sapiens","human","This gene encodes one of several alternate regulatory subunits of serine/threonine protein phosphatase 4 (PP4). The protein features multiple HEAT repeats. This protein forms a complex with PP4RC. This complex may have a distinct role from other PP4 complexes, including regulation of HDAC3 (Zhang et al., PMID: 15805470). There is also a transcribed pseudogene on chromosome 20. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jun 2012]"
"35","160335","TMTC2","transmembrane O-mannosyltransferase targeting cadherins 2","12","12q21.31","Homo sapiens","human","The protein encoded by this gene is an integral membrane protein localized to the endoplasmic reticulum (ER). The encoded protein contains many tetratricopeptide repeats, sequences known for being involved in protein-protein interactions. This protein binds both the calcium uptake pump SERCA2B and the carbohydrate-binding chaperone calnexin, and it appears to play a role in calcium homeostasis in the ER. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2016]"
"36","55752","SEPTIN11","septin 11","4","4q21.1","Homo sapiens","human","SEPT11 belongs to the conserved septin family of filament-forming cytoskeletal GTPases that are involved in a variety of cellular functions including cytokinesis and vesicle trafficking (Hanai et al., 2004 [PubMed 15196925]; Nagata et al., 2004 [PubMed 15485874]).[supplied by OMIM, Jul 2009]"
"37","10579","TACC2","transforming acidic coiled-coil containing protein 2","10","10q26.13","Homo sapiens","human","Transforming acidic coiled-coil proteins are a conserved family of centrosome- and microtubule-interacting proteins that are implicated in cancer. This gene encodes a protein that concentrates at centrosomes throughout the cell cycle. This gene lies within a chromosomal region associated with tumorigenesis. Expression of this gene is induced by erythropoietin and is thought to affect the progression of breast tumors. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
"38","29902","FAM216A","family with sequence similarity 216 member A","12","12q24.11","Homo sapiens","human",""
"39","119032","BORCS7","BLOC-1 related complex subunit 7","10","10q24.32","Homo sapiens","human","Part of BORC complex. [provided by Alliance of Genome Resources, Apr 2022]"
"40","150967","LINC01963","long intergenic non-protein coding RNA 1963","2","2q35","Homo sapiens","human",""
"41","121512","FGD4","FYVE, RhoGEF and PH domain containing 4","12","12p11.21","Homo sapiens","human","This gene encodes a protein that is involved in the regulation of the actin cytoskeleton and cell shape. This protein contains an actin filament-binding domain, which together with its Dbl homology domain and one of its pleckstrin homology domains, can form microspikes. This protein can activate MAPK8 independently of the actin filament-binding domain, and it is also involved in the activation of CDC42 via the exchange of bound GDP for free GTP. The activation of CDC42 also enables this protein to play a role in mediating the cellular invasion of Cryptosporidium parvum, an intracellular parasite that infects the gastrointestinal tract. Mutations in this gene can cause Charcot-Marie-Tooth disease type 4H (CMT4H), a disorder of the peripheral nervous system. Multiple alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2015]"
"42","135154","SDHAF4","succinate dehydrogenase complex assembly factor 4","6","6q13","Homo sapiens","human","Predicted to enable enzyme activator activity. Involved in cellular respiration and mitochondrial respiratory chain complex II assembly. Predicted to be located in mitochondrial matrix. Predicted to be active in mitochondrion. [provided by Alliance of Genome Resources, Apr 2022]"
"43","8996","NOL3","nucleolar protein 3","16","16q22.1","Homo sapiens","human","This gene encodes an anti-apoptotic protein that has been shown to down-regulate the enzyme activities of caspase 2, caspase 8 and tumor protein p53. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2010]"
"44","55744","COA1","cytochrome c oxidase assembly factor 1","7","7p13","Homo sapiens","human","Involved in mitochondrial cytochrome c oxidase assembly and mitochondrial respiratory chain complex I assembly. Located in cytosol and mitochondrion. Is integral component of mitochondrial inner membrane. [provided by Alliance of Genome Resources, Apr 2022]"
"45","5799","PTPRN2","protein tyrosine phosphatase receptor type N2","7","7q36.3","Homo sapiens","human","This gene encodes a protein with sequence similarity to receptor-like protein tyrosine phosphatases. However, tyrosine phosphatase activity has not been experimentally validated for this protein. Studies of the rat ortholog suggest that the encoded protein may instead function as a phosphatidylinositol phosphatase with the ability to dephosphorylate phosphatidylinositol 3-phosphate and phosphatidylinositol 4,5-diphosphate, and this function may be involved in the regulation of insulin secretion. This protein has been identified as an autoantigen in insulin-dependent diabetes mellitus. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2015]"
"46","8497","PPFIA4","PTPRF interacting protein alpha 4","1","1q32.1","Homo sapiens","human","PPFIA4, or liprin-alpha-4, belongs to the liprin-alpha gene family. See liprin-alpha-1 (LIP1, or PPFIA1; MIM 611054) for background on liprins.[supplied by OMIM, Mar 2008]"
"47","9260","PDLIM7","PDZ and LIM domain 7","5","5q35.3","Homo sapiens","human","The protein encoded by this gene is representative of a family of proteins composed of conserved PDZ and LIM domains. LIM domains are proposed to function in protein-protein recognition in a variety of contexts including gene transcription and development and in cytoskeletal interaction. The LIM domains of this protein bind to protein kinases, whereas the PDZ domain binds to actin filaments. The gene product is involved in the assembly of an actin filament-associated complex essential for transmission of ret/ptc2 mitogenic signaling. The biological function is likely to be that of an adapter, with the PDZ domain localizing the LIM-binding proteins to actin filaments of both skeletal muscle and nonmuscle tissues. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Jul 2008]"
"48","4741","NEFM","neurofilament medium chain","8","8p21.2","Homo sapiens","human","Neurofilaments are type IV intermediate filament heteropolymers composed of light, medium, and heavy chains. Neurofilaments comprise the axoskeleton and functionally maintain neuronal caliber. They may also play a role in intracellular transport to axons and dendrites. This gene encodes the medium neurofilament protein. This protein is commonly used as a biomarker of neuronal damage. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Oct 2008]"
"49","92181","UBTD2","ubiquitin domain containing 2","5","5q35.1","Homo sapiens","human","Predicted to be located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
"50","57407","NMRAL1","NmrA like redox sensor 1","16","16p13.3","Homo sapiens","human","This gene encodes an NADPH sensor protein that preferentially binds to NADPH. The encoded protein also negatively regulates the activity of NF-kappaB in a ubiquitylation-dependent manner. It plays a key role in cellular antiviral response by negatively regulating the interferon response factor 3-mediated expression of interferon beta. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Feb 2015]"
"51","3385","ICAM3","intercellular adhesion molecule 3","19","19p13.2","Homo sapiens","human","The protein encoded by this gene is a member of the intercellular adhesion molecule (ICAM) family. All ICAM proteins are type I transmembrane glycoproteins, contain 2-9 immunoglobulin-like C2-type domains, and bind to the leukocyte adhesion LFA-1 protein. This protein is constitutively and abundantly expressed by all leucocytes and may be the most important ligand for LFA-1 in the initiation of the immune response. It functions not only as an adhesion molecule, but also as a potent signalling molecule. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Feb 2016]"
"52","64101","LRRC4","leucine rich repeat containing 4","7","7q32.1","Homo sapiens","human","Predicted to be involved in modulation of chemical synaptic transmission and synapse organization. Predicted to act upstream of or within synapse organization. Predicted to be located in neuron spine and postsynaptic membrane. Predicted to be active in Schaffer collateral - CA1 synapse; glutamatergic synapse; and plasma membrane. Predicted to be integral component of postsynaptic density membrane. [provided by Alliance of Genome Resources, Apr 2022]"
"53","136","ADORA2B","adenosine A2b receptor","17","17p12","Homo sapiens","human","This gene encodes an adenosine receptor that is a member of the G protein-coupled receptor superfamily. This integral membrane protein stimulates adenylate cyclase activity in the presence of adenosine. This protein also interacts with netrin-1, which is involved in axon elongation. The gene is located near the Smith-Magenis syndrome region on chromosome 17. [provided by RefSeq, Jul 2008]"
"54","55506","MACROH2A2","macroH2A.2 histone","10","10q22.1","Homo sapiens","human","Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Nucleosomes consist of approximately 146 bp of DNA wrapped around a histone octamer composed of pairs of each of the four core histones (H2A, H2B, H3, and H4). The chromatin fiber is further compacted through the interaction of a linker histone, H1, with the DNA between the nucleosomes to form higher order chromatin structures. This gene encodes a replication-independent histone that is a member of the histone H2A family. It replaces conventional H2A histones in a subset of nucleosomes where it represses transcription and may participate in stable X chromosome inactivation. [provided by RefSeq, Oct 2015]"
"55","4071","TM4SF1","transmembrane 4 L six family member 1","3","3q25.1","Homo sapiens","human","The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role in the regulation of cell development, activation, growth and motility. This encoded protein is a cell surface antigen and is highly expressed in different carcinomas. [provided by RefSeq, Jul 2008]"
"56","205","AK4","adenylate kinase 4","1","1p31.3","Homo sapiens","human","This gene encodes a member of the adenylate kinase family of enzymes. The encoded protein is localized to the mitochondrial matrix. Adenylate kinases regulate the adenine and guanine nucleotide compositions within a cell by catalyzing the reversible transfer of phosphate group among these nucleotides. Five isozymes of adenylate kinase have been identified in vertebrates. Expression of these isozymes is tissue-specific and developmentally regulated. A pseudogene for this gene has been located on chromosome 17. Three transcript variants encoding the same protein have been identified for this gene. Sequence alignment suggests that the gene defined by NM_013410, NM_203464, and NM_001005353 is located on chromosome 1. [provided by RefSeq, Jul 2008]"
"57","2774","GNAL","G protein subunit alpha L","18","18p11.21","Homo sapiens","human","This gene encodes a stimulatory G protein alpha subunit which mediates odorant signaling in the olfactory epithelium. This protein couples dopamine type 1 receptors and adenosine A2A receptors and is widely expressed in the central nervous system. Mutations in this gene have been associated with dystonia 25 and this gene is located in a susceptibility region for bipolar disorder and schizophrenia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2013]"
"58","4826","NNAT","neuronatin","20","20q11.23","Homo sapiens","human","The protein encoded by this gene is a proteolipid that may be involved in the regulation of ion channels during brain development. The encoded protein may also play a role in forming and maintaining the structure of the nervous system. This gene is found within an intron of another gene, bladder cancer associated protein, but on the opposite strand. This gene is imprinted and is expressed only from the paternal allele. [provided by RefSeq, Apr 2016]"
"59","1846","DUSP4","dual specificity phosphatase 4","8","8p12","Homo sapiens","human","The protein encoded by this gene is a member of the dual specificity protein phosphatase subfamily. These phosphatases inactivate their target kinases by dephosphorylating both the phosphoserine/threonine and phosphotyrosine residues. They negatively regulate members of the mitogen-activated protein (MAP) kinase superfamily (MAPK/ERK, SAPK/JNK, p38), which are associated with cellular proliferation and differentiation. Different members of the family of dual specificity phosphatases show distinct substrate specificities for various MAP kinases, different tissue distribution and subcellular localization, and different modes of inducibility of their expression by extracellular stimuli. This gene product inactivates ERK1, ERK2 and JNK, is expressed in a variety of tissues, and is localized in the nucleus. Two alternatively spliced transcript variants, encoding distinct isoforms, have been observed for this gene. In addition, multiple polyadenylation sites have been reported. [provided by RefSeq, Jul 2008]"
"60","6119","RPA3","replication protein A3","7","7p21.3","Homo sapiens","human","Enables damaged DNA binding activity and single-stranded DNA binding activity. Involved in DNA repair and DNA replication. Part of DNA replication factor A complex. [provided by Alliance of Genome Resources, Apr 2022]"
"61","2729","GCLC","glutamate-cysteine ligase catalytic subunit","6","6p12.1","Homo sapiens","human","Glutamate-cysteine ligase, also known as gamma-glutamylcysteine synthetase is the first rate-limiting enzyme of glutathione synthesis. The enzyme consists of two subunits, a heavy catalytic subunit and a light regulatory subunit. This locus encodes the catalytic subunit, while the regulatory subunit is derived from a different gene located on chromosome 1p22-p21. Mutations at this locus have been associated with hemolytic anemia due to deficiency of gamma-glutamylcysteine synthetase and susceptibility to myocardial infarction.[provided by RefSeq, Oct 2010]"
"62","27092","CACNG4","calcium voltage-gated channel auxiliary subunit gamma 4","17","17q24.2","Homo sapiens","human","The protein encoded by this gene is a type I transmembrane AMPA receptor regulatory protein (TARP). TARPs regulate both trafficking and channel gating of the AMPA receptors. This gene is part of a functionally diverse eight-member protein subfamily of the PMP-22/EMP/MP20 family and is located in a cluster with two family members, a type II TARP and a calcium channel gamma subunit. [provided by RefSeq, Dec 2010]"
"63","100093630","SNHG8","small nucleolar RNA host gene 8","4","4q26","Homo sapiens","human",""
"64","25999","CLIP3","CAP-Gly domain containing linker protein 3","19","19q13.12","Homo sapiens","human","This gene encodes a member of the cytoplasmic linker protein 170 family. Members of this protein family contain a cytoskeleton-associated protein glycine-rich domain and mediate the interaction of microtubules with cellular organelles. The encoded protein plays a role in T cell apoptosis by facilitating the association of tubulin and the lipid raft ganglioside GD3. The encoded protein also functions as a scaffold protein mediating membrane localization of phosphorylated protein kinase B. Alternatively spliced transcript variants have been observed for this gene. [provided by RefSeq, Dec 2010]"
"65","23522","KAT6B","lysine acetyltransferase 6B","10","10q22.2","Homo sapiens","human","The protein encoded by this gene is a histone acetyltransferase and component of the MOZ/MORF protein complex. In addition to its acetyltransferase activity, the encoded protein has transcriptional activation activity in its N-terminal end and transcriptional repression activity in its C-terminal end. This protein is necessary for RUNX2-dependent transcriptional activation and could be involved in brain development. Mutations have been found in patients with genitopatellar syndrome. A translocation of this gene and the CREBBP gene results in acute myeloid leukemias. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2012]"
